5000,50,4,0
5000,172,5,0
5000,173,2,0
5000,181,4,0
5000,132,3,0
5000,99,2,0
5000,98,5,0
5000,95,4,0
5000,94,5,0
5000,69,5,0
5001,94,5,0
5001,95,5,0
5001,102,5,0
5001,136,5,0
5001,143,5,0
5001,499,5,0
5001,538,5,0
5001,542,5,0
5001,496,5,0
5001,421,5,0
5002,96,4,0
5002,161,5,0
5002,455,5,0
5002,452,3,0
5002,398,5,0
5002,257,5,0
5002,230,5,0
5002,231,5,0
5002,380,5,0
5002,881,5,0
196,242,3,881250949
22,377,1,878887116
244,51,2,880606923
166,346,1,886397596
298,474,4,884182806
115,265,2,881171488
253,465,5,891628467
305,451,3,886324817
6,86,3,883603013
62,257,2,879372434
286,1014,5,879781125
200,222,5,876042340
224,29,3,888104457
303,785,3,879485318
122,387,5,879270459
194,274,2,879539794
291,1042,4,874834944
234,1184,2,892079237
299,144,4,877881320
291,118,2,874833878
38,95,5,892430094
102,768,2,883748450
63,277,4,875747401
50,246,3,877052329
301,98,4,882075827
290,88,4,880731963
97,194,3,884238860
157,274,4,886890835
181,1081,1,878962623
276,796,1,874791932
201,979,2,884114233
287,327,5,875333916
246,201,5,884921594
249,241,5,879641194
99,4,5,886519097
178,332,3,882823437
251,100,4,886271884
81,432,2,876535131
260,322,4,890618898
25,181,5,885853415
59,196,5,888205088
72,679,2,880037164
87,384,4,879877127
290,143,5,880474293
42,423,5,881107687
292,515,4,881103977
115,20,3,881171009
20,288,1,879667584
201,219,4,884112673
13,526,3,882141053
246,919,4,884920949
138,26,5,879024232
167,232,1,892738341
60,427,5,883326620
223,274,4,891550094
243,15,3,879987440
92,1049,1,890251826
194,165,4,879546723
241,690,2,887249482
254,1444,3,886475558
299,229,3,878192429
276,54,3,874791025
291,144,5,874835091
267,518,5,878971773
11,111,4,891903862
95,625,4,888954412
8,338,4,879361873
87,1016,4,879876194
279,154,5,875296291
145,275,2,885557505
119,1153,5,874781198
62,382,3,879375537
28,209,4,881961214
135,23,4,879857765
32,294,3,883709863
90,382,5,891383835
293,685,3,888905170
166,328,5,886397722
250,496,4,878090499
160,174,5,876860807
198,498,3,884207492
42,96,5,881107178
110,307,4,886987260
58,144,4,884304936
237,514,4,879376641
94,789,4,891720887
128,485,3,879966895
298,317,4,884182806
44,195,5,878347874
194,385,2,879524643
72,195,5,880037702
250,264,3,878089182
41,265,3,890687042
224,245,3,888082216
262,1147,4,879791710
293,471,3,888904884
250,140,3,878092059
286,379,5,877533771
174,368,1,886434402
87,274,4,879876734
194,1211,2,879551380
82,1134,2,884714402
13,836,2,882139746
13,272,4,884538403
244,756,2,880605157
95,787,2,888954930
43,14,2,883955745
299,955,4,889502823
84,405,3,883452363
269,504,4,891449922
299,111,3,877878184
160,135,4,876860807
99,268,3,885678247
85,427,3,879456350
303,919,4,879467295
213,273,5,878870987
90,98,5,891383204
49,559,2,888067405
42,794,3,881108425
155,323,2,879371261
68,117,4,876973939
172,177,4,875537965
19,4,4,885412840
5,2,3,875636053
305,117,2,886324028
44,294,4,883612356
279,1336,1,875298353
80,466,5,887401701
254,164,4,886472768
298,281,3,884183336
279,1240,1,892174404
66,298,4,883601324
268,1035,2,875542174
99,79,4,885680138
26,258,3,891347949
7,455,4,891353086
222,755,4,878183481
119,328,4,876923913
213,172,5,878955442
160,719,3,876857977
293,1267,3,888906966
26,930,2,891385985
256,452,4,882164999
72,48,4,880036718
56,755,3,892910207
13,360,4,882140926
15,405,2,879455957
92,77,3,875654637
232,483,5,888549622
224,26,3,888104153
181,220,4,878962392
259,255,4,874724710
305,471,4,886323648
52,280,3,882922806
125,235,2,892838559
97,228,5,884238860
58,1098,4,884304936
83,234,4,887665548
272,178,5,879455113
125,478,4,879454628
269,127,4,891446165
6,14,5,883599249
